Abastecer	Supply with
Acabado	Finished
Accesibilidad	Accessibility
Acceso	Access
Acción	Action
Aceite	Oil
Aceituna	Olive
Actitud	Attitude
Actividad	Activity
Actividades turísticas		Tourism activities
Actual	Current/ Present
Acuerdo de libre comercio	Free trade agreement
Acuerdos bilaterales	Bilateral agreements
Acuerdos multilaterales	Multiateral agreements
Acumulación	Accumulation
Adeudar		Owe
Administración pública	Civil service/ The public administration
Adopción	Adoption
Aéreo (IATA)	International Air Transport Association
Aerolíneas	Airline
Aeropuerto	Airport
Agencia de publicidad	Advertising Agency
Agencia de turismo	Tourism Agency
Agencia de viajes	Travel Agency
Agencias de alquiler de vehículos	Car rental office
Agencias de información turística	Tourist information desk
Agencias de viajes emisoras	Travel Issuing Agency
Agencias de viajes mayoristas	Wholesale Travel Agency
Agencias de viajes minoristas	Retail Travel Agency
Agencias de viajes mixtas		Package Travel Agency
Agencias de viajes receptivas	Inbound Travel Agency
Agentes económicos	Economic agents
Agente de ventas		Sales agent/ Sales person
Agenda	Agenda
Ahorro	Saving
Albergue	Shelter/ Hostel
Alcance de marketing	Marketing scope/ marketing achieve
Alianza Internacional de Turismo (AIT)		The Alliance of International Tourism(AIT)
Almacén	Warehouse/ Store
Alojamiento	Accomodation
Alojamiento hotelero	Hotel accomodation
Alojamiento no hotelero	Non-hotel accomodation
Alternativa	Alternative
Alto	High/ Tall
Amigo	Friend
Amortizar	Amortize
Ampliar	Expand/ Extend
Análisis de valor	Analysis of the value
Antecedente	Precedent/ Antecedent/ Background
Anual	Annual
Aparcamiento	Parking Area
Apartamento turístico		Tourist apartment
Apoyo financiero	Financial support
Apreciación	Appreciation
Aprendizaje	Learning
Aptitud	Aptitude/ Suitability
Arancel	Tariff
Argumento	Argument
Arte	Art
Artículo	Article/ Item
Asamblea general	General Assembly / General Meeting
Ascender	Ascend
Asequible	Affordable/ Accessible
Asesor	Adviser
Asignación presupuestaria	Budgetary Allocation
Asistencia médico sanitaria	Medical-sanitary assistance/ Medical-
Health Care Research	Asistencia técnica
Helpdesk/ Technical assistance	Asociación de consumidores
Consumer Association	Asociación Europea de Libre Cambio
(EFTA)	European Free Trade Agreement (EFTA
Asociación privada	Private association
Asunto	Matter/ Issue/ Subject
Atención al cliente	Customer Service
Atención selectiva	Selective attention/ Selective service
Atomización	Atomization
Atracción	Attraction
Atractivo turístico	Tourist attraction
Atributo	Attribute/ Feature
Audiencia	Audience/ Hearing
Auditoría de marketing	Marketing audit
Autobús		Bus/
Autor	Author/ Writer
Aval	Endorsement/ Support
Avance	Advance/ Progress
Aviación civil	Civil aviation
Avión	Plane/ Aircraft/ Airplane
Ayuda	Help/ Aid
Ayuntamiento	Council/ City council/ Town
Baile	Dance
Bajada	Descent/ Falling
Balance	Balance
Balanza de pagos		External account
Balneario	Resort/ Summer resort/ SPA
Banco Central Europeo	European Central Bank
Banco Mundial	World Bank
Bandera	Flag/ Banner
Banner	Banner
Banquete	Banquet
Baños árabes	Arab Baths
Bar	Bar
Barato	Cheap/ Inexpensive
Barreras de entrada	Entry barrierrs
Barreras de salida	Exit barriers
Bases de datos	Database
Bebida	Drink/ Beverage
Benchmarking	Benchmarking
Beneficio	Benefit/ Profit
Biblioteca	Library
Bibliografía	Bibliography
Bienes	Goods/Estate/Assets
Bien de lujo	Luxury good
Bien de primera necesidad	Goods of first necessity
Bien inferior	Lower goods
Bien normal	Normal goods
Bienes complementarios	Complementary goods
Bienes de consumo	Consumer goods
Bienes independientes	Independent goods
Bienes públicos	Public goods
Bienes sustitutivos	Substitute goods
Bienestar social	Social welfare
Billete	Ticket/ Note/ Banknote
Blog	Blog
Bloque publicitario	Advertising block
Boca-oído	Word of mouth
Boceto	Sketch/ Outline
Bono de descuento	Discount bonus
Bosque	Forest
Botones	Buttons/ Bellboy/ Bellhop
Branding	Branding
Briefing	Briefing
Bungalós	Bungalow
Buscador de hoteles	Hotel searcher
Cadena de valor	Value chain
Cadena hotelera	Hotel chain
Cafetería	Cafe/ cafeteria
Cálculo	Calculation
Calendario	Calendar/ Schedule
Calidad	Quality
Calidad técnica de los productos	Technical quality of products
Calificación	Qualification
Calle	Street
Cama	Bed/ Bedding
Cámara	Camera/ Chamber
Cambio de divisas	Currency exchange/ Foreign exchange
Campamento turístico	Tourist camp
Campaña publicitaria	Advertising campaign/ Publicity campaign
Canal de compra	Purchasing channel
Canal de distribución	Distribution channel
Canal de comunicación	Communication channel
Cancelación de reserva	Cancellation of reservation
Cantidad	Amount/ Quantity
Cantidad demandada	Quantity demanded
Cantidad ofertada	Quantity offered
Capacidad de acogida	Reception capacity
Canon	Canon
Capital	Capital/ Equity
Carencia	Lack
Carga	Load/Cargo/ Loading
Caro	Expensive
Carretera	Road/ Highway
Cartera de negocios	Business portfolio
Casa	House/ Home
Casino	Casino
Catálogo	Catalogue/ Catalog
Categoría	Category
Castillo	Castle
Cata de vino	Wine tasting
Cataclismo	Disaster/ Cataclysm
Catedral		Cathedral
Categoría hotelera	Hotel category
Catering	Catering service
Central de reservas	On-Site Services Centre
Centralita	Switchboard
Centro	Center/ centre
Cerrado	Closed
Ciclo de vida	Life cycle
Ciclo económico	Economic cycle
Circulación
Circulation
Ciudad
City/ Town
Ciudad de vacaciones		Holiday town/ Holiday village
Clase intermedia o Bussiness	Business-class
Clase primera	First class
Clase social	Social class
Clase turista	Economy class
