Supply with	Abastecer
Finished	Acabado
Accessibility	Accesibilidad
Access	Acceso
Action	Acción
Oil	Aceite
Olive	Aceituna
Attitude/ Behaviour	Actitud
Activity	Actividad
Tourism activities	Actividades turísticas
Current/ Present	Actual
Free trade agreement	Acuerdo de libre comercio
Bilateral agreements	Acuerdos bilaterales
Multiateral agreements	Acuerdos multilaterales
Accumulation	Acumulación
Owe	Adeudar
Civil service/ The public administration	Administración pública
Adoption	Adopción
International Air Transport Association	Aéreo (IATA)
Airline	Aerolíneas
Airport	Aeropuerto
Advertising Agency	Agencia de publicidad
Tourism Agency	Agencia de turismo
Travel Agency	Agencia de viajes
Car rental office	Agencias de alquiler de vehículos
Tourist information desk	Agencias de información turística
Travel Issuing Agency	Agencias de viajes emisoras
Wholesale Travel Agency	Agencias de viajes mayoristas
Retail Travel Agency	Agencias de viajes minoristas
Package Travel Agency	Agencias de viajes mixtas
Inbound Travel Agency	Agencias de viajes receptivas
Economic agents	Agentes económicos
Sales agent/ Sales person	Agente de ventas
Agenda	Agenda
Saving	Ahorro
Shelter/ Hostel	Albergue
Marketing scope/ marketing achieve	Alcance de marketing
The Alliance of International Tourism (AIT)	Alianza Internacional de Turismo (AIT)
Warehouse/ Store	Almacén
Accomodation	Alojamiento
Hotel accomodation	Alojamiento hotelero
Non-hotel accomodation	Alojamiento no hotelero
Alternative	Alternativa
High/ Tall	Alto
Friend	Amigo
Amortize	Amortizar
Expand/ Extend	Ampliar
SWOT(Strengths, Weaknesses, Opportunities, Threats) Analysis	Análisis DAFO
Analysis of the value	Análisis de valor
Andalusia	Andalucía
Precedent/ Antecedent/ Background	Antecedente
Annual	Anual
Parking Area	Aparcamiento
Tourist apartment	Apartamento turístico
Financial support	Apoyo financiero
Appreciation	Apreciación
Learning	Aprendizaje
Aptitude/ Suitability	Aptitud
Tariff	Arancel
Argument	Argumento
Art	Arte
Article/ Item	Artículo
General Assembly / General Meeting	Asamblea general
Ascend	Ascender
Affordable/ Accessible	Asequible
Adviser	Asesor
Budgetary Allocation	Asignación presupuestaria
Medical-sanitary assistance/ Medical-Health Care Research	Asistencia médico sanitaria
Helpdesk/ Technical assistance	Asistencia técnica
Consumer Association	Asociación de consumidores
European Free Trade Agreement (EFTA)	Asociación Europea de Libre Cambio (EFTA)
International Air Transport Association (IATA)	Asociación Internacional de Transporte
Private association	Asociación privada
Matter/ Issue/ Subject	Asunto
Customer Service	Atención al cliente
Selective attention/ Selective service	Atención selectiva
Atomization	Atomización
Attraction	Atracción
Tourist attraction	Atractivo turístico
Attribute/ Feature	Atributo
Audience/ Hearing	Audiencia
Marketing audit	Auditoría de marketing
Bus/ Coach	Autobús
Coach	Autocar
Author/ Writer	Autor
Endorsement/ Support	Aval
Advance/ Progress	Avance
Civil aviation	Aviación civil
Plane/ Aircraft/ Airplane	Avión
Help/ Aid	Ayuda
Council/ City council/ Town hall	Ayuntamiento
Dance	Baile
Descent/ Falling	Bajada
Balance	Balance
External account	Balanza de pagos
Resort/ Summer resort/ SPA	Balneario
European Central Bank	Banco Central Europeo
World Bank	Banco Mundial
Flag/ Banner	Bandera
Banner	Banner
Banquet	Banquete
Arab Baths	Baños árabes
Bar	Bar
Cheap/ Inexpensive	Barato
Entry barriers	Barreras de entrada
Exit barriers	Barreras de salida
Database	Bases de datos
Drink/ Beverage	Bebida
Benchmarking	Benchmarking
Benefit/ Profit	Beneficio
Library	Biblioteca
Bibliography	Bibliografía
Goods/Estate/Assets	Bienes
Luxury good	Bien de lujo
Goods of first necessity	Bien de primera necesidad
Lower goods	Bien inferior
Normal goods	Bien normal
Complementary goods	Bienes complementarios
Consumer goods	Bienes de consumo
Independent goods	Bienes independientes
Public goods	Bienes públicos
Substitute goods	Bienes sustitutivos
Social welfare	Bienestar social
Ticket/ Note/ Banknote	Billete
Blog	Blog
Advertising block	Bloque publicitario
Word of mouth	Boca-oído
Sketch/ Outline	Boceto
Discount bonus	Bono de descuento
Forest	Bosque
Buttons/ Bellboy/ Bellhop	Botones
Branding	Branding
Briefing	Briefing
Bungalow	Bungalós
Hotel searcher	Buscador de hoteles
Suggestions Box	Buzón de sugerencias
Value chain	Cadena de valor
Hotel chain	Cadena hotelera
Cafe/ cafeteria	Cafetería
Calculation	Cálculo
Calendar/ Schedule	Calendario
Quality	Calidad
Grade/ Capacity	Calidad
Technical quality of products	Calidad técnica de los productos
Qualification	Calificación
Street	Calle
Bed/ Bedding	Cama
Camera/ Chamber	Cámara
Currency exchange/ Foreign exchange	Cambio de divisas
Tourist camp	Campamento turístico
Advertising campaign/ Publicity campaign	Campaña publicitaria
Purchasing channel	Canal de compra
Distribution channel	Canal de distribución
Communication channel	Canal de comunicación
Cancellation of reservation	Cancelación de reserva
Amount/ Quantity	Cantidad
Quantity demanded	Cantidad demandada
Quantity offered	Cantidad ofertada
Reception capacity	Capacidad de acogida
Canon	Canon
Capital/ Equity	Capital
Character/ Nature	Carácter
Feature/ Characteristic/Property	Característica
Lack	Carencia
Load/Cargo/ Loading	Carga
Expensive	Caro
Road/ Highway	Carretera
Business portfolio	Cartera de negocios
House/ Home	Casa
Casino	Casino
Catalogue/ Catalog	Catálogo
Category	Categoría
Castle	Castillo
Wine tasting	Cata de vino
Disaster/ Cataclysm	Cataclismo
Cathedral	Catedral
Hotel category	Categoría hotelera
Catering service	Catering
On-Site Services Centre	Central de reservas
Switchboard	Centralita
Center/ centre	Centro
Shopping centre/ Shopping	Centro comercial
mall/Commercial centre	Centro de Recepción Turística
Castelsardo Tourist Centre/ Center of	Cerrado
Tourist Reception	Ciclo de vida
Closed	Ciclo económico
Life cycle	Circulación
Economic cycle	Ciudad
Circulation	Ciudad de vacaciones
City/ Town	Clase intermedia o Bussiness
Holiday town/ Holiday village	Clase primera
Business-class	Clase social
First class	Clase turista
Social class	Clasificación
Economy class	Cliente
Classification	Clima
Customer/ Client	Cobertura de mercado
Climate	Cobrar
Market coverage	Coche
Charge	Coche alquilado
Car	Coche propio
Rented car/ Hired car	Cocina convencional
Own car	Cocina local
Conventional cuisine	Cocina nacional
Local cuisine	Cocina regional
National cuisine	Codificación
Regional cuisine	Código
Coding/ Codification	Código ético mundial
Code	Coeficiente
Global Code of Ethics	Cofradía
Coefficient	Columna
Brotherhood	Comensal
Column	Comercialización
Diner	Comercial
Marketing/ Commercialization	Comercio
Commercial/ Trade	Comercio electrónico
Trade/ Commerce	Comercio internacional
Electronic commerce/ E-commerce	Comisión Europea de Turismo
International trade	Comisiones regionales
European Travel Commission	Comités especializados
Regional commissions	Compañero
Specialized committees	Compañía aérea
Partner/ Companion	Compañía naviera
Airline company/ Air carrier	Competencia
Shipping company	Competencia monopolística
Competition/ Competence	Competencia perfecta
Monopolistic competition	Competitividad
Perfect competition	Comportamiento
Competitiveness	Compras
Behaviour(GB), behavior(USA)	Compraventa
Purchases	Comprobar
Sale of goods	Comunicación
Check/ Verify	Comunicación de destino
Communication	Comunicación global
Communication of destination	Comunicación integrada
Global communication	Comunidad Autónoma
Integrated communication	Comunidad internacional
Autonomous Community	Concentración
International community	Concentración geográfica
Concentration/ Consolidation	Concepto
Geographical concentration	Confianza
Concept/ Idea	Confirmación de reserva
Confidence/Trust	Conocimiento
Confirmation of reservation	Conocimiento del producto
Knowledge	Conocimiento previo
Product knowledge	Consejero
Prior knowledge	Consejo ejecutivo
Counselor/ Advisor	Consejo Mundial de Turismo (WTTC)
Executive Council/ Executive Board	Consulados
World Travel and Tourism Council (WTTC)	Consumidor
Consulate	Consumo primario
Consumer	Consumo privado
Primary consumption	Consumo público
Private consumption	Consumo secundario
Public consumption	Consumo turístico
Secondary consumption	Consumo turístico dentro de las fronteras
Tourist consumption	Consumo turístico fuera de las fronteras
Tourist consumption within national	Contabilidad
borders	Contacto
Tourist consumption outside national	Contra reembolso
borders	Control aéreo
Accounting	Coordinador
Contact	Cooperación
Against reimbursement	Correo
Air traffic control	Corto plazo
Coordinator	Costa
Cooperation/ Co-operation	Costalero
Mail/ Post/ E-mail	Coste
Short-term	Cotización
Coast/ Shore/ Seaside	Coyuntura turística (COYUNTUR)
Costalero	Crear
Cost/ Fee	Crecimiento económico
Quote/ Quotation	Credibilidad
Tourist juncture	Crédito
Create	Creencias ideológicas
Economic growth	Creencias religiosas
Credibility	Crisis económica
Credit	Crisis energética
Ideological beliefs	Crítica
Religious beliefs	Crucero
Economic crisis	Cualidad
Energy crisis	Cuantificar
Criticism	Cuenta corriente
Cruise	Cuenta de crédito
Quality	Cuenta Satélite de Turismo (CST)
Quantify	Cuestionario
Current account	Cupo de ventas
Credit account/ Charge account	Cultura
Tourism Satellite Account (TSA)	Cultura del ocio
Questionnaire	Cuña publicitaria
Quota of sales	Cuota de mercado
Culture	Curva de demanda
Leisure culture	Curva de oferta
Advertising wedge	Dato
Share market	Datos primarios
Demand curve	Datos secundarios
Offer curve	Debate
Data/ Datum	Debe
Primary data	Decisión compleja
Secondary data	Decisión rutinaria
Debate/ Discussion	Decoración
Debit/ Must/ Need	Déficit exterior
Complex decision	Déficit público
Routine decision-making	Definición conceptual
Decoration	Definición técnica
External deficit	Deflación
Public deficit	Degustación de productos
Conceptual definition	Demanda
Technical definition	Demanda diferida
Deflation	Demanda efectiva
Tasting of products	Demanda potencial
Demand	Demanda turística
Deferred demand	Demografía
Effectiva demand	Demostración
Potentional demand	Densidad de población
Tourist demand	Dependencia exterior
Demography	Deporte
Demonstration	Depreciación
Population density	Desajuste
External dependency	Desarrollo
Sport	Desarrollo de mercado
Depreciation	Desarrollo de producto
Mismatch	Desarrollo económico
Development	Desarrollo sostenible
Market development	Desayuno
Product development	Descanso
Economic development	Descripción
Sustainable development	Desastre
Breakfast	Desempleo
Rest/ Break/ Relaxation	Deseo
Description	Desinversión
Disaster	Despedida
Unemployment	Desplazamiento
Desire/ Wish	Desplazamiento de la curva
Divestiture/ Divestment	Detalle
Farewell	Destino
Displacement	Destino emergente
Displacement of curve	Deuda
Detail	Devolución
Destination	Devaluación
Emerging destination	Día
Debt	Diario
Return/ Refund	Difundir
Devaluation	Dimensión
Day	Dimensión temporal
Diary/ Daily	Dinámica de grupo o focus group
Disseminate/ Diffuse	Dinero
Dimension	Dirección de marketing
Temporal dimension	Directiva
Focus group/ Dynamic group	Dirección
Money	Director
Marketing managment	Discapacidad
Directive/ Manager	Discriminación de precios
Direction/ Address	Discurso
Director	Diseño
Disability	Disonancia cognitiva
Price discrimination	Disponibilidad de renta
Speech/ Discourse	Disponibilidad de tiempo libre
Design	Dispositivos móviles
Cognitive dissonance	Distancia
Available income	Distorsión selectiva
Availability of free time	Distribución
Mobile devices	Distribución exclusiva
Distance	Distribución intensiva
Selective distortion	Distribución selectiva
Distribution	Diversificación
Exclusive distribution	Dividir
Intensive distribution	Divulgar
Selective distribution	Divisa
Diversification	Domicilio
Divide/ Split	Dormitorio
Disclose	Duda
Currency	Duración
Home/ Residence	Duración de estancia
Bedroom	Economía abierta
Doubt	Economía cerrada
Duration	Economía clásica
Length/Duration of hospital stay	Economía mundial
Open economy	Economía neoclásica
Closed economy	Edad
Classical economy	Edad Antigua
Global economy	Edad Contemporánea
Neo-classical economy	Edad Moderna
Age	Efectivo
Ancient Age	Efecto
Contemporary Age	Efectos externos
Modern Age	Efectos globales
Cash/ Effective	Efectos multiplicadores sobre la
Effect	producción
External effects	Efectos parciales
Global effects	Efectos sobre el empleo
Multiplier effects of production	Efectos sobre la Balanza de Pagos
Partial effects	Efectos sobre la redistribución de la renta
Employment effects	Efectos sobre los precios
Effects on the balance of payments	Efectos sobre tipo de cambio
Effects of redistribution of rents	Eficacia publicitaria
Price effects	Eficacia publicitaria
Effects on the exchange rate	Eficiencia
Advertising efficiency	Ejemplo
Advertising Effectiveness	Elaborar
Efficiency	Elástica
Example	Elasticidad cruzada
Develop/ Work out	Elasticidad de la demanda
Elastic	Elasticidad precio
Cross-price elasticity	Elasticidad renta
Demand elasticity	Elemento
Own-price elasticity	Embajadas
Income elasticity	Embalaje
Element	Emisor
Embassy	Emprendedor
Packaging/ Packing	Empleo
Issuer	Empresa
Entrepreneur	Empresa de comida rápida
Employment	Empresa privada
Company/ Enterprise/ Corporation	Empresa pública
Fast food company	Empresas mercantiles
Private enterprise	Encuesta
Public corporation	Enfoque
Commercial companies	Entorno
Survey/ Opinion	Entorno de marketing
Approach/ Focus	Entorno internacional
Environment/ Surroundings	Entrada
Marketing environment	Entrega de llaves
International environment	Entrevista de grupo
Entrance/ Entry	Entrevista en profundidad
Handover of keys	Envase
Group interview	Equilibrio presupuestario
In-depth interview	Equipaje
Container/Packaging	Equipaje
Budget equilibrium	Equipaje
Luggage	Escribir
Baggage	Eslogan
Bags	Esnobismo
Write	Espacio aéreo
Slogan	Esparcimiento
Snobbery	Espectáculo
Airspace	Esquema
Recreation/ Relaxation/ Entertainment	Estabilidad de precios
Show/ Perfomance	Estabilizador automático
Scheme	Establecimiento hotelero
Price stability	Estacionalidad
Automatic stabiliser	Estado
Hotel establishment	Estados soberanos
Seasonality	Estancia
State	Estandarización del producto turístico
Sovereign States	Estadística
Stay	Estatus
Standardisation of a tourist product	Estilo
Statistics	Estilo de vida
Status	Estimación
Style	Estímulo
Lifestyle	Estrategia
Estimation	Estrategia concentrada
Stimulus/ Stimulation	Estrategia de atracción o pull
Strategy	Estrategia de empuje o push
Focused strategy	Estrategia diferenciada
Strategy of attracting/ Pull strategy	Estrategia indiferenciada
Push strategy	Estrellas (hotel de)
Differentiated strategy	Estructura económica del turismo
No-differentiated strategy	Estructura social
Stars( Hotel of...stars)	Estudios causales
Economic structure of tourism	Estudios descriptivos
Social structure	Estudios exploratorios
Causal studies	Estudios longitudinales
Descriptive studies	Estudios transversales
Exploratory studies	Etapa de crecimiento
Longitudinal studies	Etapa de declive
Cross-sectional studies	Etapa de introducción
Stage of full-on growth	Etapa de madurez
Stage of decline	Ética
Introduction stage	Etnográfico
Maturity stage	Evento
Ethics	Evolución
Ethnographic	Exclusivo/Exclusividad
Event	Excursionista
Evolution	Expectativa
Exclusive/ Exclusivity	Experiencia
Hiker/ Excursionist	Explorador
Expectation	Exportaciones
Experience	Exposición
Explorer/ Browser	Externo
Export	Exterior
Exhibition	Fábrica
External	Fácil
Outside/Exterior/Outdoor	Factor humano
Factory	Factores aleatorios
Easy	Factores de comunicación
Human factor	Factores de educativos
Random factor	Factores de modificación de la estructura
Comunication factor	social
Educational factor	Factores del entorno internacional
Modification factors of a social structure	Factores demográficos
Factors of international environment	Factores macroeconómicos
Demographic factors	Factores socioeconómicos
Macroeconomic factors	Factores tecnológicos
Socioeconomic factors	Factura
Technological factors	Facturación
Invoice/ Bill	Familia
Invoicing/ Billing	Fase
Family	Federación Internacional de
Phase	Touroperadores (IFTO)
International Fedaration of Tour	Feria turística
Operators	Ferrocarril
Tourist fair	Fiabilidad
Railway/ Train	Ficha
Reliability	Fidelidad
Tab/ Chip	Fiesta
Loyalty/ Fidelity	Fijación de precios
Festival/ Party	Financiación
Price fixing	Fines
Financing	Firma
Uses/ Purposes	Flujos turísticos a nivel mundial
Firm/ Sign	Folleto
Tourist global flows	Fondo Monetario Internacional
Brochure	Formación profesional
International Monetary Fund	Foro mundial
Professional training	Fortaleza
World Forum	Frontera
Strength/ Fortress	Fuente
Border	Fuente de información
Source	Fuerza
Information source	Función
Force	Fundación
Function	Gabinete de prensa
Foundation	Gala
Press Office	Galería de arte
Gala	Garantía
Art gallery	Gasto diario
Guarantee/ Warranty	Gasto medio
Daily expenditure	Gasto público
Medium-term expenditure	Gasto total
Public expenditure	Gasto turístico
Total expenditure	Gastronomía
Tourism expenditure	Generación
Gastronomy	General
Generation	Generalife
General	Género
Generalife	Generosidad
Gender	Gente
Generosity	Gerente
People	Gestión
Manager	Gestión administrativa
Management	Gestión por rendimiento o yield
Administrative management	management
Yield management	Gobernanta
Head of Household	Gobierno
Government	Gráfico
Graphic	Gran-tour
Grand Tour	Gremio
Guild	Grupos de presión
Pressure group	Grupos de referencia
Reference groups	Guerra
War	Guía
Guide	Guía intérprete
Guide-interpreter	Gusto
Taste/ Pleasure/ Like	Hábitos de consumo
Buying habits	Habitual
Usual/ Regular/ Habitual	Horario
Schedule/ Timetable	Hotel
Hotel	Hotel/apartamento
Apartment Hotel	Hipótesis
Hypothesis	Hueco de mercado
Market gap	Hábito
Habit/ Custom	Huelga
Strike	Hombre
Man/ Human being	Habitación
Room	Huésped
Guest/ Host	Hora
Hour/ Time	Homogéneo
Homogeneous	Hoy
Today	Huésped
Guest	Habitación individual
Single room	Habitación doble
Double room	Habitación triple
Triple room	Habitaciones contiguas
Adjoining rooms	Habitaciones comunicadas
Suite	Huella
Footprint/ Track	Idea
Idea	Identidad
Identity	Imagen
Image	Imagen de marca
Brand image	Imagen de marca
Trademark	Impacto ambiental
Environmental impact	Impacto directo
Direct impact	Impacto indirecto
Indirect impact	Impacto inducido
Induced impact	Implantación del producto
Product implementation	Implicación
Implication / Involvement	Importaciones
Imports	Impuesto directo
Direct tax	Impuesto indirecto
Indirect tax	Impuesto sobre el Valor Añadido (IVA)
Value-added tax	Impuesto sobre la Renta de las Personas
Personal Income Tax	Físicas (IRPF)
Bolster/ Push	Impulsar
Inauguration	Inauguración
Incentive	Incentivo
Uncertainty	Incertidumbre
Inconvenience/Inconveniente	Inconveniente
Increase	Incrementar
Consumer Price Index	Índice de Precios al Consumo (IPC)
Industry	Industria
Instability	Inestabilidad
Political instability	Inestabilidad política
Inflation	Inflación
Influence/ Impact	Influencia
Information	Información
Statistical information	Información estadística
Report/ Inform	Informe
Infrastructure	Infraestructura
Income	Ingresos
Average income	Ingreso medio
Total income/ Full income	Ingreso total
Initiative	Iniciativa
Innovation	Innovación
Innovator	Innovador
Labour insertion	Inserción laboral
National Institute of Statistics	Instituto Nacional de Estadística
Instruments	Instrumentos
Integration	Integración
Economic integration	Integración económica
Exchange/ Interchange	Intercambio
Intermediary	Intermediario
International	Internacional
Internationalisation of economic activities	Internacionalización de la actividad
Internet	económica
Inner/ Inside	Internet
Websurfer/ Internet user	Interior
Introduction	Internauta
Inventory	Introducción
Invention	Inventario
Private investment	Invento
Public investment	Inversión privada
Research/ Investigation	Inversión pública
Market research	Investigación
Descriptive research	Investigación de mercados
Experimental research	Investigación descriptiva
Exploratory research	Investigación experimental
Survey research	Investigación exploratoria
Observation research	Investigación por encuesta
Itinerary	Investigación por observación
Ham	Itinerario
Garden	Jamón
Head chief	Jardín
Head receptionist	Jefe de cocina
Work shifts	Jefe de recepción
Olympic Games	Jornadas de trabajo
Judge/ Court	Juegos olímpicos
Board	Juez
Jury	Junta
Justice	Jurado
Justification	Justicia
Youth/ Youthful/ Young	Justificación
Keynesians	Juvenil
Kilo/ Kilogram	Keynesianos
Kilometre / Kilometer	Kilo
Laboratory	Kilómetro
Long distance	Laboratorio
Long stay	Larga distancia
Long term	Larga estancia
Laundry	Largo plazo
Loyalty	Lavandería
Legoslation	Lealtad
Language	Legislación
Liberalization	Lenguaje
Freedom of choice	Liberalización
Press freedom	Libertad de elección
Complaints Book	Libertad de prensa
License/ Licence	Libro de reclamaciones
Opinion leader	Licencia
Leadership	Líder de opinión
Limit/Restrict	Liderazgo
Cleaning	Limitar
Liquidity	Limpieza
Key	Liquidez
Tourist arrivals	Llave
Location	Llegada de turistas
Logistics	Localización
Logo/ Logotype	Logística
Place/ Location/ Venue	Logotipo
Luxury	Lugar
Macroeconomics	Lujo
Macroenvironment	Macroeconomía
Morning	Macroentorno
Magnitude	Madrugada
Mailing	Magnitud
Technical maintenance	Mailing
Map	Mantenimiento técnico
Concept map	Mapa
Brand	Mapa conceptual
Individual brand/ Individual trade mark	Marca
Trade mark	Marca individual
Unique trade mark	Marca registrada
marketing	Marca única
Direct marketing	Marketing
Strategic marketing	Marketing directo
Internal marketing	Marketing estratégico
Operational marketing	Marketing interno
Sensory marketing	Marketing operativo
Marketing-mix	Marketing sensorial
Material	Marketing-mix
Wholesale	Material
Patron	Mayorista
Patronage	Mecenas
Half-board	Mecenazgo
Media	Media pensión
Economics meisure	Mediático
Mean/ Environment	Medición económica
Environment	Medio
Means of transportation	Medio ambiente
Medium-term	Medio de transporte
Advertising media	Medio plazo
Message	Medio publicitario
Monthly	Mensaje
Market	Mensual
Common market	Mercado
Hiking market	Mercado común
Labour market	Mercado de excursionismo
Target market	Mercado de trabajo
Tourism market	Mercado objetivo
Intervened market	Mercado turístico
Free market	Mercados intervenidos
Modern market	Mercados libres
Potential markets	Mercados modernos
Traditional markets	Mercados potenciales
Goods	Mercados tradicionales
Merchandising	Mercancías
Microeconmics	Merchandising
Micro environment	Microeconomía
Affiliate members	Microentorno
Asociated members	Miembros afiliados
Effective members	Miembros asociados
Retailer	Miembros efectivos
Comunication mix	Minorista
Furniture	Mix de comunicación
Fashion	Mobiliario
Model	Moda
Change	Modelo
Currency	Modificar
Monopoly	Moneda
Monument	Monopolio
Motel	Monumento
Motivation	Motel
Purpose of travel	Motivación
Curve variations	Motivo del viaje
Migratory movements	Movimientos de la curva
Sample	Movimientos migratorios
Sampling	Muestra
Multiple	Muestreo
Timesharing	Múltiple
Globalization of economic activity	Multipropiedad
Municipal	Mundialización de la actividad económica
Municipality	Municipal
Museum	Municipio
National	Museo
Nationalisation	Nacional
Natural	Nacionalización
Nature of the goods	Natural
Browser	Naturaleza del bien
