districtwide	a través del distrito
abuse	abuso
child abuse	abuso de menores
corrective action	acción correctiva
harassment	acoso,  hostigamiento
birth certificate	acta de nacimiento, partida de nacimiento
pull-out activity	actividad de refuerzo fuera del salón
update, to	actualizar, poner al día
accommodation	adaptación, acomodamiento
administrator	administrador/a 
adolescence	adolescencia
adoption	adopción
textbook adoption	adopción de libros de texto
adopt, to	adoptar
language acquisition	adquisición del idioma
local educational agency (LEA)	agencia local de educación (conocido en inglés como LEA)
visual acuity	agudeza visual
acute	agudo
adjustment	ajuste
early literacy	alfabetización temprana
align (to), alignment	alineado, basado en
high expectations	altas expectativas
high academic level	alto nivel académico
high achievement	alto rendimiento
student body	alumnado
illiteracy	analfabetismo
functional illiteracy	analfabetismo funcional
native English speakers	angloparlantes nativos, anglohablantes nativos
abnormality	anormalidad
Reading First	Antes que nada, la lectura
Early Reading First	Antes que nada, la lectura infantil
grade level	año académico, grado escolar
calendar year	año civil
school year	año escolar
extended school year	año escolar prolongado
grade	año, grado
administer, administration	aplicar, se aplica, aplicación, dar, administrar, administración
technical support	apoyo técnico
active learning	aprendizaje activo
cooperative learning	aprendizaje conjunto o grupal
acquisition	aprendizaje, adquisición
career adviser	asesor/a vocacional, profesional
attendance	asistencía
audit	auditoria
unexcused absence	ausencia injustificada
absence(s)	ausencia(s)
bilingual educational aide	auxiliar educativo/a bilingüe
advanced (CST performance level or CELDT proficiency level) 	avanzado (como el nivel avanzado)
technical assistance	ayuda técnica
basic (CST performance level)	básico (como el nivel básico)
scholarship	beca
grade card	boleta, reporte de calificaciones
bulletin	boletín
newsletter	boletín
first-aid kit	botiquín de primeros auxilios
teacher quality	calidad de maestros
scale score	calificación de escala (scale score)
letter grade	calificación en forma de letra
raw score	calificación original
score	calificación, resultado
student scores	calificaciones de los estudiantes
handwriting	caligrafía, escritura or letra manuscrita
Basic Interpersonal Communication Skills (BICS)	Capacidad básica de comunicación interpersonal (conocido en inglés como BICS)
oral language skills	capacidad o aptitud de expresión oral
competency	capacidad, aptitud
ability	capacidad, habilidad
staff development	capacitación del personal
professional development	capacitación, desarrollo profesional
biliterate	capaz de leer y escribir en dos idiomas
Center on School, Family, and Community Partnerships	Centro de Colaboración entre la Escuela, la Familia, y la Comunidad
newcomer center	centro para nuevos estudiantes que no hablan inglés 
preschool	centro, plantel, establecimiento de educación preescolar
Bilingual Certificate of Competence (BCC)	Certificado de competencia bilingüe (conocido en inglés como BCC)
Bilingual Cross-cultural Certificate of Competence (BCC)	Certificado de competencia bilingüe transcultural (conocido en inglés como BCC)
certificate of educational achievement	certificado de rendimiento educativo
Certificate of Proficiency	Certificado de suficiencia preparatoria
multitrack	ciclos educativos múltiples
school tracks	ciclos escolares
science	ciencias
kinesthetic	cinestético 
citizenship	ciudadanía, nacionalidad, conducta cívica
language classification	clasificación según el dominio del idioma
code of student behavior	código de conducta, comportamiento estudiantil
Education Code	Código de Educación
California Education Code	Código de Educación de California
dress code	código de vestir
intelligence quotient (IQ)	coeficiente intelectual (conocido en inglés como IQ)
Head Start	Comienzo con ventaja
California Commission on Teacher Credentialing (CCTC)	Comisión de Acreditación de Maestros de California (conocido en inglés como CCTC)
advisory committee	comité asesor
community advisory committee (CAC)	comité asesor comunitario (conocido en inglés como CAC)
Bilingual Advisory Committee	 (BAC)	Comité asesor de la educación bilingüe (conocido en inglés como BAC)
parent advisory committee	comité asesor de padres de familia
District English Language Advisory Committee (DELAC)	Comité asesor del distrito escolar para los estudiantes de inglés como segunda lengua (conocido en inglés como DELAC)
English Learner Advisory Committee (ELAC)	Comité asesor para los estudiantes de inglés como segunda lengua (conocido en inglés como ELAC)
behavior	comportamiento
listening	comprensión auditiva
reading comprehension	comprensión de lectura
verbal comprehension	comprensión verbal
English proficient	con dominio del inglés
fluent-English proficient (FEP)	con dominio total del inglés (conocido en inglés como FEP)
fluent reader	con fluidez en la lectura
underrepresented	con poca representación
school-based	con sede escolar
adaptive behavior	conducta adaptativa
aggregate	conjunto, totalidad
basic skills	conocimientos básicos
counselor	consejero/a
school site council (SSC)	consejo del plantel escolar (conocido en inglés como SSC)
board of directors	consejo directivo
building and grounds worker 	conserje
transcript	constancia de estudios
local control	control local
field coordinator	coordinador/a de campo
e-mail	correo electrónico
fourth	cuarto
curriculum	Currículo, plan de estsudios
standards-based curriculum	currículo basado en los estándares 
core curriculum	currículo principal
accelerated courses	cursos intensivos
student achievement data	datos de aprovechamiento académico
baseline data	datos fundamentales o básicos
limited-English proficiency	de dominio limitado del inglés
economically disadvantaged	de escasos recursos económicos
tenth	décimo
child advocate	defensor/a de menores de edad
hard of hearing (HOH)	deficiencia auditiva, sordo (conocido en inglés como HOH)
budget shortfall	deficiencia del presupuesto
language and speech impaired (LASI)		deficiente en el lenguaje y habla (conocido en inglés como LASI)
California Department of Education (CDE)	Departamento de Educación de California (conocido en inglés como CDE)
U.S. Department of Education 	Departamento de Educación de EEUU
fees	derechos, costos de matrícula
English–language development (ELD)	desarrollo del inglés como segunda lengua (conocido en inglés como ELD)
Cognitive Academic Language Proficiency (CALP)	Desarrollo del lenguaje académico (conocido en inglés como CALP)
Bilingual Cross-cultural Language and Academic Development (BCLAD)	Desarrollo lingüístico académico y bilingüe transcultural (conocido en inglés como BCLAD)
Crosscultural, Language, and Academic Development (CLAD)	Desarrollo lingüístico académico y transcultural (conocido en inglés como CLAD)
pupil-free day	día sin estudiantes (para la capacitación de maestros)
diagnostic	diagnóstico
calendar days	días civiles
buy-back days	días de desarrollo profesional
learning disabled	discapacidad en el aprendizaje
handicap	discapacidad, impedimento, desventaja
budget allocations	distribuciones, asignaciones del presupuesto
two-way immersion	doble inmersión
twelfth	doceavo, duodécimo
drug abuse	drogadicción, uso excesivo de drogas
bilingual education	educación bilingüe
Gifted and Talented Education (GATE)	Educación de estudiantes dotados y talentosos (conocido en inglés como GATE)
special education	educación especial
multicultural education	educación multicultural
